,Unnamed: 0,z_ice_sfc,z_ice_bott,z_ice_bed,x
0,0,,,-799,10800.0
1,1,,,-801,10750.0
2,2,,,-802,10700.0
3,3,,,-802,10650.0
4,4,,,-801,10600.0
5,5,,,-802,10550.0
6,6,,,-800,10500.0
7,7,,,-798,10450.0
8,8,,,-796,10400.0
9,9,,,-795,10350.0
10,10,,,-792,10300.0
11,11,,,-794,10250.0
12,12,,,-798,10200.0
13,13,,,-802,10150.0
14,14,,,-805,10100.0
15,15,,,-811,10050.0
16,16,,,-819,10000.0
17,17,,,-827,9950.0
18,18,,,-836,9900.0
19,19,,,-843,9850.0
20,20,,,-851,9800.0
21,21,,,-861,9750.0
22,22,,,-871,9700.0
23,23,,,-881,9650.0
24,24,,,-892,9600.0
25,25,,,-901,9550.0
26,26,,,-907,9500.0
27,27,,,-917,9450.0
28,28,,,-927,9400.0
29,29,,,-947,9350.0
30,30,,,-963,9300.0
31,31,,,-978,9250.0
32,32,,,-983,9200.0
33,33,,,-988,9150.0
34,34,,,-1012,9100.0
35,35,,,-1020,9050.0
36,36,,,-1025,9000.0
37,37,,,-1025,8950.0
38,38,,,-1053,8900.0
39,39,,,-1053,8850.0
40,40,,,-1056,8800.0
41,41,,,-1060,8750.0
42,42,,,-1065,8700.0
43,43,,,-1103,8650.0
44,44,,,-1099,8600.0
45,45,,,-1095,8550.0
46,46,,,-1091,8500.0
47,47,,,-1085,8450.0
48,48,,,-1101,8400.0
49,49,,,-1084,8350.0
50,50,,,-1063,8300.0
51,51,,,-1041,8250.0
52,52,,,-1033,8200.0
53,53,,,-1012,8150.0
54,54,,,-992,8100.0
55,55,,,-987,8050.0
56,56,,,-983,8000.0
57,57,,,-992,7950.0
58,58,,,-987,7900.0
59,59,,,-984,7850.0
60,60,,,-984,7800.0
61,61,,,-991,7750.0
62,62,,,-1015,7700.0
63,63,,,-1025,7650.0
64,64,,,-1026,7600.0
65,65,,,-1008,7550.0
66,66,,,-1010,7500.0
67,67,,,-989,7450.0
68,68,,,-973,7400.0
69,69,,,-956,7350.0
70,70,,,-940,7300.0
71,71,,,-900,7250.0
72,72,,,-893,7200.0
73,73,,,-881,7150.0
74,74,,,-867,7100.0
75,75,,,-853,7050.0
76,76,,,-828,7000.0
77,77,,,-833,6950.0
78,78,,,-839,6900.0
79,79,,,-844,6850.0
80,80,,,-846,6800.0
81,81,,,-849,6750.0
82,82,,,-853,6700.0
83,83,,,-850,6650.0
84,84,,,-854,6600.0
85,85,,,-864,6550.0
86,86,,,-881,6500.0
87,87,,,-893,6450.0
88,88,,,-900,6400.0
