,z_ice_sfc,z_ice_bott,z_ice_bed,x
0,,,-799,216
1,,,-801,215
2,,,-802,214
3,,,-802,213
4,,,-801,212
5,,,-802,211
6,,,-800,210
7,,,-798,209
8,,,-796,208
9,,,-795,207
10,,,-792,206
11,,,-794,205
12,,,-798,204
13,,,-802,203
14,,,-805,202
15,,,-811,201
16,,,-819,200
17,,,-827,199
18,,,-836,198
19,,,-843,197
20,,,-851,196
21,,,-861,195
22,,,-871,194
23,,,-881,193
24,,,-892,192
25,,,-901,191
26,,,-907,190
27,,,-917,189
28,,,-927,188
29,,,-947,187
30,,,-963,186
31,,,-978,185
32,,,-983,184
33,,,-988,183
34,,,-1012,182
35,,,-1020,181
36,,,-1025,180
37,,,-1025,179
38,,,-1053,178
39,,,-1053,177
40,,,-1056,176
41,,,-1060,175
42,,,-1065,174
43,,,-1103,173
44,,,-1099,172
45,,,-1095,171
46,,,-1091,170
47,,,-1085,169
48,,,-1101,168
49,,,-1084,167
50,,,-1063,166
51,,,-1041,165
52,,,-1033,164
53,,,-1012,163
54,,,-992,162
55,,,-987,161
56,,,-983,160
57,,,-992,159
58,,,-987,158
59,,,-984,157
60,,,-984,156
61,,,-991,155
62,,,-1015,154
63,,,-1025,153
64,,,-1026,152
65,,,-1008,151
66,,,-1010,150
67,,,-989,149
68,,,-973,148
69,,,-956,147
70,,,-940,146
71,,,-900,145
72,,,-893,144
73,,,-881,143
74,,,-867,142
75,,,-853,141
76,,,-828,140
77,,,-833,139
78,,,-839,138
79,,,-844,137
80,,,-846,136
81,,,-849,135
82,,,-853,134
83,,,-850,133
84,,,-854,132
85,,,-864,131
86,,,-881,130
87,,,-893,129
88,,,-900,128
89,,,-906,127
90,,,-903,126
91,,,-909,125
92,,,-915,124
93,,,-922,123
94,,,-940,122
95,,,-943,121
96,,,-962,120
97,,,-980,119
98,,,-1002,118
99,,,-1032,117
100,,,-1060,116
101,,,-1096,115
102,,,-1131,114
103,,,-1162,113
104,,,-1158,112
105,,,-1150,111
106,,,-1143,110
107,,,-1141,109
108,,,-1146,108
109,,,-1083,107
110,,,-1069,106
111,,,-1054,105
112,,,-1043,104
113,,,-1039,103
114,,,-967,102
115,,,-977,101
116,,,-982,100
117,,,-985,99
118,,,-989,98
119,,,-945,97
120,,,-956,96
121,,,-953,95
122,,,-945,94
123,,,-931,93
124,,,-937,92
125,,,-937,91
126,,,-934,90
127,,,-905,89
128,,,-878,88
129,,,-842,87
130,42.0,-179.0,-810,86
131,43.0,-183.0,-783,85
132,44.0,-185.0,-757,84
133,44.0,-185.0,-725,83
134,44.0,-184.0,-699,82
135,45.0,-192.0,-680,81
136,47.0,-202.0,-668,80
137,48.0,-214.0,-661,79
138,48.0,-215.0,-641,78
139,49.0,-224.0,-636,77
140,50.0,-228.0,-633,76
141,50.0,-223.0,-633,75
142,48.0,-215.0,-631,74
143,49.0,-215.0,-634,73
144,49.0,-214.0,-634,72
145,48.0,-208.0,-634,71
146,48.0,-207.0,-635,70
147,47.0,-201.0,-634,69
148,48.0,-208.0,-636,68
149,50.0,-216.0,-637,67
150,51.0,-220.0,-639,66
151,52.0,-226.0,-640,65
152,53.0,-228.0,-639,64
153,54.0,-234.0,-639,63
154,54.0,-239.0,-639,62
155,55.0,-245.0,-639,61
156,55.0,-246.0,-637,60
157,56.0,-255.0,-638,59
158,57.0,-262.0,-639,58
159,57.0,-272.0,-640,57
160,59.0,-282.0,-643,56
161,59.0,-290.0,-641,55
162,60.0,-296.0,-641,54
163,62.0,-302.0,-642,53
164,62.0,-309.0,-643,52
165,63.0,-311.0,-645,51
166,63.0,-325.0,-640,50
167,61.0,-305.0,-641,49
168,59.0,-290.0,-643,48
169,59.0,-289.0,-645,47
170,59.0,-289.0,-645,46
171,59.0,-286.0,-638,45
172,60.0,-301.0,-640,44
173,62.0,-312.0,-642,43
174,63.0,-324.0,-644,42
175,65.0,-342.0,-636,41
176,66.0,-352.0,-635,40
177,67.0,-357.0,-642,39
178,68.0,-362.0,-651,38
179,68.0,-366.0,-660,37
180,70.0,-386.0,-654,36
181,71.0,-387.0,-660,35
182,72.0,-396.0,-664,34
183,73.0,-402.0,-662,33
184,74.0,-407.0,-657,32
185,77.0,-421.0,-638,31
186,79.0,-428.0,-633,30
187,82.0,-433.0,-629,29
188,84.0,-436.0,-625,28
189,86.0,-446.0,-623,27
190,89.0,-481.0,-630,26
191,90.0,-510.0,-639,25
192,90.0,-548.0,-653,24
193,90.0,-589.0,-674,23
194,91.0,-640.0,-706,22
195,91.0,-701.0,-739,21
196,91.0,-754.0,-767,20
197,97.0,-798.0,-798,19
198,109.0,-820.0,-820,18
199,118.0,-835.0,-835,17
200,139.0,-860.0,-860,16
201,160.0,-870.0,-870,15
202,179.0,-877.0,-877,14
203,194.0,-876.0,-876,13
204,202.0,-831.0,-831,12
205,194.0,-844.0,-844,11
206,179.0,-861.0,-861,10
207,169.0,-874.0,-874,9
208,169.0,-876.0,-876,8
209,209.0,-795.0,-795,7
210,232.0,-774.0,-774,6
211,260.0,-751.0,-751,5
212,285.0,-735.0,-735,4
213,310.0,-728.0,-728,3
214,310.0,-728.0,-728,2
215,311.0,-750.0,-750,1
216,307.0,-785.0,-785,0
