,Unnamed: 0,z_ice_sfc,z_ice_bott,z_ice_bed,x,csw,cdw,mw,y_near,y_mid,y_far
0,0,,,-799,10800.0,0.0,-425.0,,-0.1,0.0,0.1
1,1,,,-801,10750.0,0.0,-425.0,,-0.1,0.0,0.1
2,2,,,-802,10700.0,0.0,-425.0,,-0.1,0.0,0.1
3,3,,,-802,10650.0,0.0,-425.0,,-0.1,0.0,0.1
4,4,,,-801,10600.0,0.0,-425.0,,-0.1,0.0,0.1
5,5,,,-802,10550.0,0.0,-425.0,,-0.1,0.0,0.1
6,6,,,-800,10500.0,0.0,-425.0,,-0.1,0.0,0.1
7,7,,,-798,10450.0,0.0,-425.0,,-0.1,0.0,0.1
8,8,,,-796,10400.0,0.0,-425.0,,-0.1,0.0,0.1
9,9,,,-795,10350.0,0.0,-425.0,,-0.1,0.0,0.1
10,10,,,-792,10300.0,0.0,-425.0,,-0.1,0.0,0.1
11,11,,,-794,10250.0,0.0,-425.0,,-0.1,0.0,0.1
12,12,,,-798,10200.0,0.0,-425.0,,-0.1,0.0,0.1
13,13,,,-802,10150.0,0.0,-425.0,,-0.1,0.0,0.1
14,14,,,-805,10100.0,0.0,-425.0,,-0.1,0.0,0.1
15,15,,,-811,10050.0,0.0,-425.0,,-0.1,0.0,0.1
16,16,,,-819,10000.0,0.0,-425.0,,-0.1,0.0,0.1
17,17,,,-827,9950.0,0.0,-425.0,,-0.1,0.0,0.1
18,18,,,-836,9900.0,0.0,-425.0,,-0.1,0.0,0.1
19,19,,,-843,9850.0,0.0,-425.0,,-0.1,0.0,0.1
20,20,,,-851,9800.0,0.0,-425.0,,-0.1,0.0,0.1
21,21,,,-861,9750.0,0.0,-425.0,,-0.1,0.0,0.1
22,22,,,-871,9700.0,0.0,-425.0,,-0.1,0.0,0.1
23,23,,,-881,9650.0,0.0,-425.0,,-0.1,0.0,0.1
24,24,,,-892,9600.0,0.0,-425.0,,-0.1,0.0,0.1
25,25,,,-901,9550.0,0.0,-425.0,,-0.1,0.0,0.1
26,26,,,-907,9500.0,0.0,-425.0,,-0.1,0.0,0.1
27,27,,,-917,9450.0,0.0,-425.0,,-0.1,0.0,0.1
28,28,,,-927,9400.0,0.0,-425.0,,-0.1,0.0,0.1
29,29,,,-947,9350.0,0.0,-425.0,,-0.1,0.0,0.1
30,30,,,-963,9300.0,0.0,-425.0,,-0.1,0.0,0.1
31,31,,,-978,9250.0,0.0,-425.0,,-0.1,0.0,0.1
32,32,,,-983,9200.0,0.0,-425.0,,-0.1,0.0,0.1
33,33,,,-988,9150.0,0.0,-425.0,,-0.1,0.0,0.1
34,34,,,-1012,9100.0,0.0,-425.0,,-0.1,0.0,0.1
35,35,,,-1020,9050.0,0.0,-425.0,,-0.1,0.0,0.1
36,36,,,-1025,9000.0,0.0,-425.0,,-0.1,0.0,0.1
37,37,,,-1025,8950.0,0.0,-425.0,,-0.1,0.0,0.1
38,38,,,-1053,8900.0,0.0,-425.0,,-0.1,0.0,0.1
39,39,,,-1053,8850.0,0.0,-425.0,,-0.1,0.0,0.1
40,40,,,-1056,8800.0,0.0,-425.0,,-0.1,0.0,0.1
41,41,,,-1060,8750.0,0.0,-425.0,,-0.1,0.0,0.1
42,42,,,-1065,8700.0,0.0,-425.0,,-0.1,0.0,0.1
43,43,,,-1103,8650.0,0.0,-425.0,,-0.1,0.0,0.1
44,44,,,-1099,8600.0,0.0,-425.0,,-0.1,0.0,0.1
45,45,,,-1095,8550.0,0.0,-425.0,,-0.1,0.0,0.1
46,46,,,-1091,8500.0,0.0,-425.0,,-0.1,0.0,0.1
47,47,,,-1085,8450.0,0.0,-425.0,,-0.1,0.0,0.1
48,48,,,-1101,8400.0,0.0,-425.0,,-0.1,0.0,0.1
